Name,Filter,Product,Type,Operator,Value
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1596,Conductor,Time Schedules,Starts With,AZBN_BRU_PNC_UW_DIRECTFQCAR-1596_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1596,storm Contact,Agent Groups,Starts With,AZBN_BRU_PNC_UW_DIRECTFQCAR-1596_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1596,storm Contact,Agents,All,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1596,storm Contact,Queues,Starts With,AZBN_BRU_PNC_UW_DIRECTFQCAR-1596_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1596,UC,Treatments,Starts With,AZBN_BRU_PNC_UW_DIRECTFQCAR-1596_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1596,UC,User Groups,All,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1596,UC,Users,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1597,Conductor,Actions,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1597,Conductor,Parameters,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1597,Conductor,Services,Starts With,AZBN_BRU_PNC_UW_DIRECTFQCAR-1597_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1597,Conductor,Time Layers,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1597,Conductor,Time Schedules,Starts With,AZBN_BRU_PNC_UW_DIRECTFQCAR-1597_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1597,storm Contact,Agent Groups,Starts With,AZBN_BRU_PNC_UW_DIRECTFQCAR-1597_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1597,storm Contact,Agents,All,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1597,storm Contact,Queues,Starts With,AZBN_BRU_PNC_UW_DIRECTFQCAR-1597_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1597,UC,Treatments,Starts With,AZBN_BRU_PNC_UW_DIRECTFQCAR-1597_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1597,UC,User Groups,All,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1597,UC,Users,ALL,N\A
